zip_code,18-24 Total,18-24 Less than high school graduate,18-24 High school graduate,18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25 Total,25 Less than 9th grade,25 9th to 12th grade,25 High school graduate,"25 Some college, no degree",25 Associate's degree,25 Bachelor's degree,25 Graduate or professional degree,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Median household income,Mean household income,Median family income,Mean family income,Per capita income,Median nonfamily income,Mean nonfamily income,Median earnings for workers,Civilian noninstitutionalized population,With health insurance coverage,No health insurance coverage
94127,0,30874553838234,20201362,20348657,20677194,21585999,21101849,19962099,20179642,20890964,22708591,22298125,19664805,19289,1042,1065,955,943,769,823,46.5,0,468,1056,591,0,0,829,0,0,699
94105,31131484,4169856,9479784,14222740,3259104,216271644,11759554,15677560,59093612,44935834,17917481,41377068,25510535,6903,5619,5619,5417,202,0,1284,199364,269416,250000,409994,154723,142189,196723,117512,7675,7406,269
94123,1161,30,74,149,908,21463,260,300,1020,1602,536,11258,6487,22836,18366,18340,17628,712,26,4470,134809,186772,211304,289438,104926,113239,137218,91559,25410,24990,420
94130,1077,185,458,369,65,1645,107,89,233,374,130,548,164,2802,1728,1728,1500,228,0,1074,52143,73578,38438,54630,18012,58917,87097,18445,3129,2679,450
94131,1293,4,236,729,324,23539,614,554,1523,3172,914,8574,8188,25220,18163,18151,17257,894,12,7057,119924,161645,161707,203434,75754,91465,121546,74507,28500,27433,1067
94114,1237,83,112,405,637,29504,384,321,1192,3517,1176,11158,11756,30988,24466,24431,23445,986,35,6522,143902,200105,190617,256512,100685,120857,162399,86253,34454,33615,839
94129,430,7,25,130,268,2442,47,0,114,142,110,1053,976,2973,2465,2465,2439,26,0,508,190167,250387,209257,279749,81974,151667,182411,66091,4019,3960,59
94116,3777,190,515,2027,1045,36211,2526,1401,5239,6486,2631,11381,6547,40755,26846,26823,25223,1600,23,13909,101746,142434,123318,161610,50165,67696,92659,49271,47453,45919,1534
94117,4759,35,1502,2170,1052,34933,476,572,2007,4084,1165,16222,10407,39852,31780,31748,30341,1407,32,8072,132979,176172,175968,235500,76623,107263,136705,67325,43272,41128,2144
94121,2857,107,544,1498,708,34783,2109,1539,3908,5172,2957,11663,7435,38085,25868,25816,24642,1174,52,12217,87001,122610,116839,157596,52321,60785,78129,50752,43347,41625,1722
94118,3080,100,325,1164,1491,32475,1795,1044,2628,3451,1791,12720,9046,35852,25521,25521,24393,1128,0,10331,102021,148871,132430,203851,65842,79929,97205,58953,41307,39589,1718
94107,1934,69,354,669,842,24331,986,954,1808,2600,915,9404,7664,26665,20165,20165,19207,958,0,6500,143467,181099,168005,204780,87735,124244,159153,92682,29892,28917,975
94122,3560,196,706,1229,1429,50314,3352,1987,5870,7249,3073,17916,10867,54825,37523,37498,35928,1570,25,17302,102838,133357,123673,153981,51615,78919,97222,52792,62430,59682,2748
94112,6815,582,1556,3260,1417,64460,9166,4335,14259,12370,4786,13781,5763,72993,49223,49187,45778,3409,36,23770,82692,106249,83630,106676,31905,59769,84728,32563,84916,78497,6419
94111,179,0,24,79,76,2865,160,62,280,233,123,932,1075,3044,1870,1870,1807,63,0,1174,99464,144677,143167,175878,88610,86544,129191,99063,3356,3274,82
94132,7751,110,1600,4948,1093,19552,1344,718,2434,3987,1532,6067,3470,27876,17391,17356,15482,1874,35,10485,72970,97811,95211,119995,34028,44482,64444,30946,31079,28975,2104
94115,2397,75,251,588,1483,28842,1027,882,2716,3461,920,10964,8872,31630,22657,22657,21529,1128,0,8973,103625,150888,133547,190460,76686,88140,126613,72729,35180,33524,1656
94134,3757,268,814,1957,718,31228,4605,2828,7750,5913,2487,5539,2106,35796,23276,23276,21431,1845,0,12520,71352,93749,77459,98464,28790,40754,68035,31607,43006,39689,3317
94110,4205,450,586,1585,1584,58508,4323,3120,7456,8611,2461,19491,13046,63578,49145,49133,46405,2728,12,14433,109747,150063,107366,151794,59660,104202,140563,53724,73183,67675,5508
94109,4099,189,501,1509,1900,49555,2528,1617,5078,6291,1821,19627,12593,63578,49145,49133,46405,2728,12,14433,109747,150063,107366,151794,59660,104202,140563,53724,73183,67675,5508
94133,1926,103,295,756,772,22513,4294,1331,2558,2070,970,6736,4554,24710,16137,16124,15203,921,13,8573,66422,117135,65125,132472,58461,66563,103990,47937,26929,25082,1847
94124,2622,306,662,1273,381,24188,3656,2578,5577,4384,1862,4471,1660,27823,18412,18404,16550,1854,8,9411,55823,80499,60006,81921,26061,41593,66860,30903,35473,32631,2842
94108,1057,25,227,319,486,12557,2694,900,1395,1304,592,3639,2033,13842,9036,9036,8680,356,0,4806,55341,91859,45510,101521,51359,60288,86341,48114,14856,14068,788
94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
94102,2155,207,493,687,768,25703,2702,1930,3759,4911,958,7298,4145,28054,17531,17531,16486,1045,0,10523,33552,71287,53368,92694,43488,26368,63077,36623,29984,27312,2672
94104,6,0,0,6,0,386,100,41,39,57,0,108,41,392,161,161,151,10,0,231,48429,113606,0,64303,64267,0,142186,0,436,414,22
94128,0,0,0,0,0,120,0,7,51,34,9,10,9,120,51,51,34,17,0,69,0,0,0,0,13552,0,0,14125,126,106,20
